horizont;benchmark;metrics;GTT-Small (zero-shot);GTT-Small (finetune);GTT-Tiny (zero-shot);GTT-Tiny (finetune);UniTime (zero-shot);UniTime (finetune);PatchTST;SegRNN;SparseTSF;ModernTCN;Repeat_Closest
96;ETTh2;MSE;0.237;0.220;0.242;0.223;0.301;0.300;0.274;0.263;0.278;0.264;0.432
192;ETTh2;MSE;0.296;0.262;0.287;0.266;0.386;0.378;0.340;0.322;0.315;0.318;0.534
336;ETTh2;MSE;0.348;0.298;0.320;0.302;0.424;0.413;0.331;0.333;0.311;0.314;0.597
720;ETTh2;MSE;0.429;0.373;0.386;0.371;0.448;0.428;0.379;0.396;0.371;0.394;0.595
24;ETTm1;MSE;0.282;0.198;0.216;0.190;0.755;0.244;0.193;0.191;0.241;0.198;0.720
96;ETTm1;MSE;0.428;0.287;0.350;0.291;0.920;0.327;0.292;0.304;0.313;0.301;1.214
192;ETTm1;MSE;0.526;0.329;0.395;0.330;1.081;0.368;0.331;0.337;0.348;0.334;1.261
336;ETTm1;MSE;0.660;0.367;0.429;0.368;1.212;0.400;0.366;0.377;0.367;0.371;1.287
720;ETTm1;MSE;0.986;0.428;0.485;0.429;1.317;0.458;0.418;0.431;0.419;0.424;1.322
24;ETTm2;MSE;0.113;0.092;0.109;0.094;0.153;0.107;0.096;0.095;0.099;0.102;0.149
96;ETTm2;MSE;0.200;0.158;0.206;0.165;0.224;0.183;0.165;0.166;0.164;0.171;0.267
192;ETTm2;MSE;0.270;0.212;0.274;0.221;0.307;0.251;0.220;0.226;0.218;0.227;0.340
336;ETTm2;MSE;0.327;0.265;0.335;0.271;0.384;0.320;0.278;0.277;0.272;0.276;0.412
720;ETTm2;MSE;0.413;0.343;0.428;0.349;0.507;0.426;0.367;0.345;0.351;0.370;0.522
24;exchange_rate;MSE;0.032;0.038;0.042;0.038;0.043;0.028;0.026;0.024;0.049;0.024;0.024
96;exchange_rate;MSE;0.139;0.143;0.175;0.140;0.100;0.091;0.093;0.083;0.112;0.081;0.081
192;exchange_rate;MSE;0.399;0.354;0.350;0.339;0.203;0.183;0.200;0.181;0.208;0.167;0.167
336;exchange_rate;MSE;0.953;0.739;0.689;0.692;0.363;0.326;0.370;0.352;0.382;0.314;0.306
720;exchange_rate;MSE;2.206;1.487;1.317;1.380;0.982;0.859;0.904;1.130;1.000;0.659;0.810
24;weather;MSE;0.088;0.086;0.093;0.090;0.168;0.109;0.091;0.087;0.106;0.091;0.136
96;weather;MSE;0.135;0.135;0.150;0.148;0.299;0.178;0.152;0.144;0.172;0.150;0.259
192;weather;MSE;0.179;0.179;0.196;0.191;0.336;0.224;0.195;0.188;0.216;0.195;0.309
336;weather;MSE;0.232;0.230;0.249;0.240;0.396;0.279;0.248;0.237;0.260;0.236;0.376
720;weather;MSE;0.312;0.302;0.320;0.310;0.457;0.355;0.319;0.311;0.319;0.332;0.465
24;illness;MSE;1.746;1.196;1.207;1.117;7.006;2.244;1.417;3.549;2.251;1.348;6.213
36;illness;MSE;1.819;1.302;1.347;1.212;4.863;1.896;1.410;3.868;2.100;1.446;7.714
48;illness;MSE;1.950;1.409;1.593;1.377;3.856;1.896;1.695;3.776;2.253;1.389;7.851
60;illness;MSE;2.086;1.604;1.826;1.639;3.528;1.990;1.573;3.565;2.094;1.773;6.885
24;de_small;MSE;0.160;0.183;0.244;0.440;1.367;0.345;0.066;0.351;0.401;0.118;1.636
36;de_small;MSE;0.219;0.223;0.304;0.465;1.436;0.480;0.075;0.488;0.500;0.151;1.846
48;de_small;MSE;0.254;0.232;0.353;0.451;1.446;0.542;0.083;0.562;0.513;0.198;1.838
60;de_small;MSE;0.282;0.226;0.399;0.421;1.504;0.634;0.092;0.706;0.565;0.145;1.976
24;de_big;MSE;0.066;0.048;0.068;0.055;1.163;0.123;0.101;0.068;0.078;0.095;1.304
96;de_big;MSE;0.125;0.095;0.127;0.104;1.192;0.173;0.151;0.112;0.127;0.146;1.757
192;de_big;MSE;0.165;0.135;0.166;0.140;1.141;0.191;0.180;0.163;0.158;0.182;1.724
336;de_big;MSE;0.219;0.167;0.196;0.174;1.179;0.234;0.226;0.220;0.211;0.264;1.834
720;de_big;MSE;0.317;0.204;0.228;0.214;1.290;0.315;0.279;0.284;0.261;0.321;1.937
